,Season,rank,team,wins,draws,losses,goals_for,goals_against,goals_diff,points,avg_points,x_goals,x_goals_against,x_goals_diff,shots,SoT,SoT_p,cmp_pass,att_pass,cmp_pass_p,total_dist_pass,prg_dist_pass,tackles,tackles_w,d_tackles,m_tackles,a_tackles,block_s,block_p,intercepts,clearance,errors,poss,succ_dribble,att_dribble
6,2020-21,7,Villarreal,15.0,13.0,10.0,60.0,44.0,16.0,58.0,1.53,56.4,42.5,13.9,392.0,146.0,37.2,17508.0,21129.0,82.9,305401.0,104842.0,539.0,313.0,256.0,205.0,78.0,101.0,257.0,371.0,638.0,17.0,55.2,437.0,692.0
7,2020-21,8,Celta Vigo,14.0,11.0,13.0,55.0,57.0,-2.0,53.0,1.39,50.4,51.0,-0.6,350.0,133.0,38.0,15176.0,19318.0,78.6,263064.0,91351.0,662.0,368.0,332.0,259.0,71.0,89.0,310.0,405.0,751.0,12.0,53.3,276.0,465.0
8,2020-21,9,Granada,13.0,7.0,18.0,47.0,65.0,-18.0,46.0,1.21,41.1,56.2,-15.0,354.0,121.0,34.2,9083.0,13336.0,68.1,173761.0,74259.0,499.0,279.0,226.0,213.0,60.0,128.0,260.0,392.0,764.0,7.0,41.4,312.0,516.0
9,2020-21,10,Athletic Club,11.0,13.0,14.0,46.0,42.0,4.0,46.0,1.21,43.1,37.7,5.4,399.0,128.0,32.1,13578.0,17842.0,76.1,251138.0,91455.0,462.0,269.0,194.0,200.0,68.0,74.0,267.0,344.0,684.0,9.0,49.9,304.0,501.0
10,2020-21,11,Osasuna,11.0,11.0,16.0,37.0,48.0,-11.0,44.0,1.16,38.7,47.8,-9.0,368.0,114.0,31.0,10233.0,15031.0,68.1,201353.0,91559.0,524.0,281.0,223.0,217.0,84.0,100.0,249.0,392.0,774.0,7.0,43.2,245.0,441.0
11,2020-21,12,Cádiz,11.0,11.0,16.0,36.0,58.0,-22.0,44.0,1.16,34.7,55.4,-20.7,299.0,97.0,32.4,7949.0,12067.0,65.9,158876.0,72256.0,573.0,317.0,305.0,216.0,52.0,99.0,269.0,437.0,788.0,8.0,34.8,321.0,513.0
12,2020-21,13,Valencia,10.0,13.0,15.0,50.0,53.0,-3.0,43.0,1.13,42.6,52.2,-9.6,383.0,129.0,33.7,12755.0,16480.0,77.4,241622.0,89243.0,463.0,277.0,241.0,163.0,59.0,123.0,249.0,392.0,785.0,12.0,46.9,341.0,553.0
13,2020-21,14,Levante,9.0,14.0,15.0,46.0,57.0,-11.0,41.0,1.08,40.4,53.4,-13.0,376.0,125.0,33.2,14190.0,18116.0,78.3,257005.0,95976.0,511.0,282.0,268.0,188.0,55.0,93.0,242.0,435.0,681.0,15.0,52.2,366.0,615.0
14,2020-21,15,Getafe,9.0,11.0,18.0,28.0,43.0,-15.0,38.0,1.0,34.4,40.3,-5.9,355.0,97.0,27.3,8977.0,13863.0,64.8,170990.0,76315.0,579.0,352.0,232.0,276.0,71.0,53.0,308.0,393.0,615.0,4.0,43.3,263.0,483.0
15,2020-21,16,Alavés,9.0,11.0,18.0,36.0,57.0,-21.0,38.0,1.0,42.6,49.9,-7.3,339.0,95.0,28.0,10216.0,14388.0,71.0,196775.0,86618.0,499.0,292.0,263.0,181.0,55.0,90.0,251.0,427.0,766.0,8.0,42.8,254.0,467.0
16,2020-21,17,Elche,8.0,12.0,18.0,34.0,55.0,-21.0,36.0,0.95,29.9,60.9,-31.0,265.0,86.0,32.5,13481.0,17054.0,79.0,244074.0,94226.0,551.0,336.0,324.0,189.0,38.0,97.0,260.0,386.0,689.0,10.0,47.5,365.0,618.0
17,2020-21,18,Huesca,7.0,13.0,18.0,34.0,53.0,-19.0,34.0,0.89,38.9,48.4,-9.5,404.0,130.0,32.2,13507.0,17480.0,77.3,250921.0,87968.0,556.0,321.0,309.0,191.0,56.0,83.0,259.0,437.0,616.0,7.0,48.3,426.0,654.0
18,2020-21,19,Valladolid,5.0,16.0,17.0,34.0,57.0,-23.0,31.0,0.82,40.1,52.9,-12.8,359.0,110.0,30.6,11145.0,15385.0,72.4,206106.0,80268.0,559.0,321.0,285.0,208.0,66.0,102.0,277.0,431.0,812.0,9.0,45.2,291.0,504.0
19,2020-21,20,Eibar,6.0,12.0,20.0,29.0,52.0,-23.0,30.0,0.79,45.2,45.7,-0.5,443.0,127.0,28.7,11810.0,16890.0,69.9,234607.0,92605.0,514.0,309.0,228.0,204.0,82.0,63.0,297.0,434.0,593.0,11.0,49.3,320.0,519.0
0,2019-20,1,Real Madrid,26.0,9.0,3.0,70.0,25.0,45.0,87.0,2.29,67.9,33.3,34.6,552.0,222.0,40.2,20107.0,23733.0,84.7,352395.0,113610.0,586.0,355.0,252.0,253.0,81.0,77.0,290.0,381.0,590.0,13.0,58.8,484.0,769.0
1,2019-20,2,Barcelona,25.0,7.0,6.0,86.0,38.0,48.0,82.0,2.16,66.3,38.3,28.0,488.0,213.0,43.6,24758.0,28227.0,87.7,391043.0,119999.0,536.0,323.0,216.0,223.0,97.0,87.0,226.0,342.0,529.0,16.0,66.4,524.0,793.0
2,2019-20,3,Atlético Madrid,18.0,16.0,4.0,51.0,27.0,24.0,70.0,1.84,56.8,32.5,24.4,440.0,136.0,30.9,13595.0,17765.0,76.5,221969.0,88351.0,658.0,406.0,293.0,272.0,93.0,108.0,272.0,412.0,729.0,18.0,48.6,348.0,543.0
3,2019-20,4,Sevilla,19.0,13.0,6.0,54.0,34.0,20.0,70.0,1.84,53.2,36.1,17.1,484.0,164.0,33.9,17525.0,21733.0,80.6,319775.0,106264.0,587.0,344.0,274.0,246.0,67.0,94.0,237.0,346.0,704.0,10.0,57.9,413.0,667.0
4,2019-20,5,Villarreal,18.0,6.0,14.0,63.0,49.0,14.0,60.0,1.58,63.6,46.3,17.3,483.0,160.0,33.1,16218.0,20045.0,80.9,294996.0,98849.0,553.0,323.0,250.0,239.0,64.0,116.0,246.0,339.0,814.0,12.0,52.9,431.0,690.0
5,2019-20,6,Real Sociedad,16.0,8.0,14.0,56.0,48.0,8.0,56.0,1.47,48.9,43.0,5.8,424.0,139.0,32.8,15989.0,20229.0,79.0,284543.0,99304.0,551.0,321.0,254.0,224.0,73.0,79.0,267.0,320.0,694.0,12.0,56.2,355.0,591.0
6,2019-20,7,Granada,16.0,8.0,14.0,52.0,45.0,7.0,56.0,1.47,44.9,42.6,2.3,389.0,118.0,30.3,9810.0,14105.0,69.5,190418.0,79655.0,584.0,348.0,257.0,257.0,70.0,118.0,257.0,385.0,750.0,10.0,43.8,300.0,553.0
7,2019-20,8,Getafe,14.0,12.0,12.0,43.0,37.0,6.0,54.0,1.42,41.6,41.4,0.2,408.0,121.0,29.7,8319.0,13715.0,60.7,165205.0,78281.0,580.0,341.0,235.0,263.0,82.0,60.0,314.0,367.0,625.0,12.0,45.0,274.0,476.0
8,2019-20,9,Valencia,14.0,11.0,13.0,46.0,53.0,-7.0,53.0,1.39,43.3,56.0,-12.7,331.0,111.0,33.5,14490.0,18258.0,79.4,261347.0,90948.0,500.0,311.0,270.0,173.0,57.0,130.0,204.0,360.0,748.0,12.0,49.0,345.0,549.0
9,2019-20,10,Osasuna,13.0,13.0,12.0,46.0,54.0,-8.0,52.0,1.37,49.4,49.4,0.1,455.0,142.0,31.2,10959.0,15904.0,68.9,208476.0,88806.0,613.0,361.0,275.0,267.0,71.0,98.0,287.0,417.0,738.0,19.0,47.4,315.0,525.0
10,2019-20,11,Athletic Club,13.0,12.0,13.0,41.0,38.0,3.0,51.0,1.34,41.5,48.8,-7.3,401.0,126.0,31.4,12533.0,16915.0,74.1,234527.0,90251.0,533.0,324.0,262.0,204.0,67.0,92.0,247.0,373.0,755.0,7.0,48.7,337.0,587.0
11,2019-20,12,Levante,14.0,7.0,17.0,47.0,53.0,-6.0,49.0,1.29,48.1,62.9,-14.8,422.0,133.0,31.5,12415.0,16332.0,76.0,226838.0,91964.0,507.0,288.0,281.0,173.0,53.0,107.0,210.0,331.0,763.0,14.0,48.3,386.0,637.0
12,2019-20,13,Valladolid,9.0,15.0,14.0,32.0,43.0,-11.0,42.0,1.11,36.5,54.5,-18.0,369.0,116.0,31.4,11187.0,15457.0,72.4,210277.0,81914.0,568.0,327.0,316.0,204.0,48.0,112.0,279.0,390.0,749.0,13.0,44.7,338.0,569.0
13,2019-20,14,Eibar,11.0,9.0,18.0,39.0,56.0,-17.0,42.0,1.11,42.0,53.0,-11.0,419.0,132.0,31.5,10439.0,15551.0,67.1,207816.0,83924.0,567.0,338.0,240.0,228.0,99.0,81.0,251.0,430.0,692.0,8.0,46.3,260.0,458.0
14,2019-20,15,Betis,10.0,11.0,17.0,48.0,60.0,-12.0,41.0,1.08,51.0,54.8,-3.7,471.0,152.0,32.3,16182.0,19823.0,81.6,284815.0,94496.0,501.0,299.0,276.0,173.0,52.0,119.0,217.0,302.0,682.0,8.0,56.7,445.0,713.0
15,2019-20,16,Alavés,10.0,9.0,19.0,34.0,59.0,-25.0,39.0,1.03,39.3,57.8,-18.5,307.0,98.0,31.9,9612.0,13973.0,68.8,182169.0,82559.0,579.0,346.0,261.0,265.0,53.0,114.0,271.0,392.0,766.0,7.0,41.5,251.0,497.0
16,2019-20,17,Celta Vigo,7.0,16.0,15.0,37.0,49.0,-12.0,37.0,0.97,39.2,45.3,-6.1,359.0,131.0,36.5,14552.0,18557.0,78.4,249112.0,90316.0,589.0,357.0,344.0,193.0,52.0,89.0,256.0,396.0,807.0,12.0,51.7,370.0,610.0
17,2019-20,18,Leganés,8.0,12.0,18.0,30.0,51.0,-21.0,36.0,0.95,39.9,42.8,-2.9,427.0,143.0,33.5,10336.0,14838.0,69.7,189358.0,81022.0,603.0,357.0,317.0,215.0,71.0,73.0,247.0,418.0,687.0,7.0,43.9,342.0,581.0
18,2019-20,19,Mallorca,9.0,6.0,23.0,40.0,65.0,-25.0,33.0,0.87,41.1,63.5,-22.4,410.0,118.0,28.8,11782.0,15636.0,75.4,202286.0,85060.0,545.0,338.0,280.0,213.0,52.0,117.0,243.0,376.0,672.0,9.0,45.0,392.0,709.0
19,2019-20,20,Espanyol,5.0,10.0,23.0,27.0,58.0,-31.0,25.0,0.66,38.6,51.0,-12.4,407.0,120.0,29.5,11881.0,16363.0,72.6,224795.0,87286.0,628.0,364.0,303.0,253.0,72.0,96.0,284.0,360.0,731.0,17.0,47.4,281.0,489.0
0,2018-19,1,Barcelona,26.0,9.0,3.0,90.0,36.0,54.0,87.0,2.29,75.8,45.3,30.5,551.0,242.0,43.9,23263.0,26691.0,87.2,387148.0,121592.0,537.0,346.0,218.0,232.0,87.0,101.0,259.0,391.0,565.0,16.0,64.4,446.0,753.0
1,2018-19,2,Atlético Madrid,22.0,10.0,6.0,55.0,29.0,26.0,76.0,2.0,47.3,41.9,5.4,440.0,155.0,35.2,14943.0,19014.0,78.6,244070.0,89223.0,784.0,487.0,402.0,298.0,84.0,94.0,280.0,463.0,837.0,12.0,49.2,366.0,572.0
2,2018-19,3,Real Madrid,21.0,5.0,12.0,63.0,46.0,17.0,68.0,1.79,66.7,47.1,19.6,585.0,203.0,34.7,20625.0,24198.0,85.2,365419.0,117707.0,626.0,395.0,267.0,253.0,106.0,78.0,296.0,373.0,602.0,11.0,60.1,460.0,756.0
3,2018-19,4,Valencia,15.0,16.0,7.0,51.0,35.0,16.0,61.0,1.61,60.7,42.9,17.8,470.0,157.0,33.4,13679.0,17639.0,77.5,250732.0,95104.0,598.0,384.0,299.0,228.0,71.0,120.0,327.0,418.0,860.0,12.0,47.1,343.0,589.0
4,2018-19,5,Getafe,15.0,14.0,9.0,48.0,35.0,13.0,59.0,1.55,46.2,43.6,2.6,395.0,122.0,30.9,8108.0,13021.0,62.3,166355.0,79572.0,604.0,358.0,246.0,281.0,77.0,81.0,341.0,453.0,888.0,15.0,40.7,299.0,576.0
5,2018-19,6,Sevilla,17.0,8.0,13.0,62.0,47.0,15.0,59.0,1.55,66.6,45.4,21.3,524.0,167.0,31.9,14555.0,18806.0,77.4,264057.0,99500.0,598.0,408.0,288.0,237.0,73.0,114.0,256.0,365.0,817.0,15.0,52.3,357.0,606.0
6,2018-19,7,Espanyol,14.0,11.0,13.0,48.0,50.0,-2.0,53.0,1.39,48.9,53.8,-4.9,470.0,154.0,32.8,13855.0,17740.0,78.1,257913.0,96516.0,655.0,394.0,324.0,244.0,87.0,134.0,268.0,408.0,950.0,14.0,49.4,318.0,523.0
7,2018-19,8,Athletic Club,13.0,14.0,11.0,41.0,45.0,-4.0,53.0,1.39,43.4,45.7,-2.3,380.0,132.0,34.7,13195.0,17584.0,75.0,241813.0,95218.0,643.0,384.0,311.0,245.0,87.0,93.0,321.0,453.0,815.0,7.0,50.0,288.0,542.0
8,2018-19,9,Real Sociedad,13.0,11.0,14.0,45.0,46.0,-1.0,50.0,1.32,49.7,48.6,1.1,418.0,133.0,31.8,14565.0,18547.0,78.5,268094.0,94552.0,579.0,344.0,299.0,219.0,61.0,109.0,335.0,425.0,842.0,19.0,51.7,411.0,679.0
9,2018-19,10,Betis,14.0,8.0,16.0,44.0,52.0,-8.0,50.0,1.32,47.1,49.4,-2.4,436.0,156.0,35.8,19411.0,22871.0,84.9,330968.0,106394.0,615.0,378.0,309.0,227.0,79.0,80.0,302.0,361.0,702.0,21.0,61.8,449.0,717.0
10,2018-19,11,Alavés,13.0,11.0,14.0,39.0,50.0,-11.0,50.0,1.32,41.1,53.2,-12.1,426.0,116.0,27.2,9631.0,14061.0,68.5,186037.0,84436.0,646.0,389.0,352.0,228.0,66.0,117.0,302.0,390.0,1066.0,13.0,42.7,276.0,489.0
11,2018-19,12,Eibar,11.0,14.0,13.0,46.0,50.0,-4.0,47.0,1.24,54.8,45.9,9.0,524.0,147.0,28.1,12976.0,18501.0,70.1,257830.0,97740.0,637.0,424.0,238.0,289.0,110.0,53.0,304.0,368.0,683.0,10.0,54.0,344.0,592.0
12,2018-19,13,Leganés,11.0,12.0,15.0,37.0,43.0,-6.0,45.0,1.18,40.6,41.2,-0.6,414.0,128.0,30.9,10733.0,15210.0,70.6,211020.0,87095.0,609.0,382.0,325.0,221.0,63.0,84.0,245.0,432.0,907.0,10.0,43.1,253.0,469.0
13,2018-19,14,Villarreal,10.0,14.0,14.0,49.0,52.0,-3.0,44.0,1.16,53.9,55.0,-1.1,488.0,169.0,34.6,13758.0,17648.0,78.0,258486.0,98478.0,667.0,413.0,333.0,255.0,79.0,142.0,264.0,390.0,877.0,12.0,48.3,348.0,603.0
14,2018-19,15,Levante,11.0,11.0,16.0,59.0,66.0,-7.0,44.0,1.16,53.9,76.2,-22.3,435.0,154.0,35.4,10824.0,14765.0,73.3,197315.0,82835.0,572.0,372.0,308.0,196.0,68.0,151.0,304.0,422.0,842.0,12.0,45.7,402.0,738.0
15,2018-19,16,Valladolid,10.0,11.0,17.0,32.0,51.0,-19.0,41.0,1.08,41.1,58.5,-17.5,406.0,125.0,30.8,12015.0,16279.0,73.8,227734.0,85945.0,714.0,441.0,369.0,265.0,80.0,113.0,300.0,387.0,874.0,16.0,46.8,294.0,477.0
16,2018-19,17,Celta Vigo,10.0,11.0,17.0,53.0,62.0,-9.0,41.0,1.08,46.5,60.9,-14.4,445.0,152.0,34.2,14955.0,18808.0,79.5,268380.0,94860.0,634.0,377.0,364.0,213.0,57.0,105.0,275.0,382.0,889.0,19.0,51.6,380.0,626.0
17,2018-19,18,Girona,9.0,10.0,19.0,37.0,53.0,-16.0,37.0,0.97,43.5,52.7,-9.2,392.0,137.0,34.9,13136.0,17212.0,76.3,250408.0,94834.0,613.0,367.0,309.0,247.0,57.0,124.0,277.0,432.0,928.0,14.0,48.0,316.0,537.0
18,2018-19,19,Huesca,7.0,12.0,19.0,43.0,65.0,-22.0,33.0,0.87,50.8,60.2,-9.4,463.0,139.0,30.0,10586.0,14891.0,71.1,201067.0,85670.0,712.0,452.0,363.0,290.0,59.0,107.0,307.0,440.0,953.0,12.0,44.5,314.0,592.0
19,2018-19,20,Rayo Vallecano,8.0,8.0,22.0,41.0,70.0,-29.0,32.0,0.84,48.7,60.0,-11.3,453.0,144.0,31.8,12469.0,16307.0,76.5,226255.0,87288.0,651.0,422.0,369.0,223.0,59.0,77.0,311.0,433.0,931.0,16.0,48.7,534.0,848.0
0,2017-18,1,Barcelona,28.0,9.0,1.0,99.0,29.0,70.0,93.0,2.45,83.5,41.9,41.6,575.0,264.0,45.9,22147.0,25740.0,86.0,363858.0,121364.0,629.0,413.0,281.0,262.0,86.0,103.0,263.0,424.0,525.0,10.0,62.8,619.0,973.0
1,2017-18,2,Atlético Madrid,23.0,10.0,5.0,58.0,22.0,36.0,79.0,2.08,50.2,35.8,14.4,401.0,147.0,36.7,14484.0,18580.0,78.0,247035.0,94144.0,917.0,614.0,442.0,372.0,103.0,129.0,333.0,513.0,885.0,4.0,47.5,426.0,693.0
2,2017-18,3,Real Madrid,22.0,10.0,6.0,94.0,44.0,50.0,76.0,2.0,85.4,43.2,42.2,689.0,267.0,38.8,20954.0,24496.0,85.5,358580.0,120200.0,687.0,470.0,317.0,275.0,95.0,83.0,279.0,424.0,536.0,16.0,60.2,501.0,752.0
3,2017-18,4,Valencia,22.0,7.0,9.0,65.0,38.0,27.0,73.0,1.92,56.0,48.3,7.7,473.0,175.0,37.0,14289.0,18004.0,79.4,262219.0,98454.0,745.0,492.0,407.0,267.0,71.0,108.0,308.0,459.0,910.0,9.0,48.6,428.0,699.0
4,2017-18,5,Villarreal,18.0,7.0,13.0,57.0,50.0,7.0,61.0,1.61,53.2,53.4,-0.2,470.0,162.0,34.5,14995.0,18797.0,79.8,271846.0,102257.0,711.0,466.0,356.0,278.0,77.0,131.0,316.0,427.0,1023.0,7.0,50.4,328.0,575.0
5,2017-18,6,Betis,18.0,6.0,14.0,60.0,61.0,-1.0,60.0,1.58,46.0,49.0,-3.1,415.0,160.0,38.6,17953.0,21622.0,83.0,317892.0,104643.0,635.0,424.0,319.0,252.0,64.0,95.0,261.0,427.0,869.0,17.0,56.9,439.0,681.0
6,2017-18,7,Sevilla,17.0,7.0,14.0,49.0,58.0,-9.0,58.0,1.53,59.5,54.4,5.2,511.0,174.0,34.1,16366.0,20571.0,79.6,280397.0,106920.0,768.0,535.0,354.0,325.0,89.0,114.0,305.0,409.0,849.0,17.0,54.3,392.0,661.0
7,2017-18,8,Getafe,15.0,10.0,13.0,42.0,33.0,9.0,55.0,1.45,48.2,39.7,8.5,361.0,122.0,33.8,8531.0,13193.0,64.7,168983.0,76721.0,715.0,491.0,369.0,267.0,79.0,69.0,281.0,487.0,899.0,5.0,40.2,296.0,584.0
8,2017-18,9,Eibar,14.0,9.0,15.0,44.0,50.0,-6.0,51.0,1.34,40.9,44.4,-3.5,467.0,131.0,28.1,12725.0,17961.0,70.8,260468.0,98591.0,643.0,436.0,271.0,282.0,90.0,53.0,296.0,554.0,712.0,9.0,52.0,352.0,649.0
9,2017-18,10,Girona,14.0,9.0,15.0,50.0,59.0,-9.0,51.0,1.34,50.6,50.4,0.2,447.0,149.0,33.3,11843.0,16037.0,73.8,235816.0,90635.0,611.0,403.0,299.0,254.0,58.0,84.0,245.0,490.0,858.0,6.0,46.8,360.0,644.0
10,2017-18,11,Espanyol,12.0,13.0,13.0,36.0,42.0,-6.0,49.0,1.29,41.1,52.3,-11.2,410.0,128.0,31.2,12753.0,17192.0,74.2,233640.0,90370.0,716.0,500.0,357.0,278.0,81.0,116.0,246.0,515.0,902.0,9.0,46.9,323.0,596.0
11,2017-18,12,Real Sociedad,14.0,7.0,17.0,66.0,59.0,7.0,49.0,1.29,53.7,50.5,3.1,516.0,165.0,32.0,16973.0,20838.0,81.5,305627.0,106584.0,547.0,374.0,249.0,228.0,70.0,91.0,276.0,446.0,665.0,6.0,56.5,362.0,623.0
